,period,sphere,fo,region,min_tar,max_tar
0,2п. 2019,Холодное водоснабжение,Сибирский,Алтайский край,14.1,47.77
1,2п. 2019,Теплоснабжение,Сибирский,Алтайский край,884.53,3271.81
2,2п. 2019,Водоотведение,Сибирский,Алтайский край,12.01,53.76
3,2п. 2020,Холодное водоснабжение,Сибирский,Алтайский край,11.27,50.23
4,2п. 2020,Теплоснабжение,Сибирский,Алтайский край,818.13,3279.89
5,2п. 2020,Водоотведение,Сибирский,Алтайский край,12.3,61.62
6,2п. 2019,Холодное водоснабжение,Дальневосточный,Амурская область,9.65,77.28
7,2п. 2019,Теплоснабжение,Дальневосточный,Амурская область,889.62,8627.93
8,2п. 2019,Водоотведение,Дальневосточный,Амурская область,2.28,162.04
9,2п. 2020,Холодное водоснабжение,Дальневосточный,Амурская область,13.68,122.93
10,2п. 2020,Теплоснабжение,Дальневосточный,Амурская область,925.2,12874.23
11,2п. 2020,Водоотведение,Дальневосточный,Амурская область,2.36,193.13
12,2п. 2019,Холодное водоснабжение,Северо-Западный,Архангельская область,20.51,140.63
13,2п. 2019,Теплоснабжение,Северо-Западный,Архангельская область,1260.21,2580.25
14,2п. 2019,Водоотведение,Северо-Западный,Архангельская область,14.56,101.59
15,2п. 2020,Холодное водоснабжение,Северо-Западный,Архангельская область,16.02,154.28
16,2п. 2020,Теплоснабжение,Северо-Западный,Архангельская область,1165.61,7229.39
17,2п. 2020,Водоотведение,Северо-Западный,Архангельская область,19.69,130.48
18,2п. 2019,Холодное водоснабжение,Южный,Астраханская область,20.54,73.03
19,2п. 2019,Теплоснабжение,Южный,Астраханская область,1027.18,3732.76
20,2п. 2019,Водоотведение,Южный,Астраханская область,18.02,92.56
21,2п. 2020,Холодное водоснабжение,Южный,Астраханская область,19.87,109.58
22,2п. 2020,Теплоснабжение,Южный,Астраханская область,1007.69,3695.62
23,2п. 2020,Водоотведение,Южный,Астраханская область,18.22,94.46
24,2п. 2019,Холодное водоснабжение,Центральный,Белгородская область,15.1,41.9
25,2п. 2019,Теплоснабжение,Центральный,Белгородская область,1570.13,1920.46
